nicenames,data,model,term,estimate,std.error,statistic,p.value,glance
BIX,,,(Intercept),-0.5443487280841045,0.3465892365187261,-1.5705875160802738,0.12344276052755235,
BIX,,,foundation_sppPhyllospadix,0.8107679602664095,0.4901511988573182,1.6541180806178586,0.10522123894104378,
BIX,,,before_afterBefore,0.839071919561447,0.4244833899058358,1.9766896409010972,0.05436514070353796,
BIX,,,foundation_sppPhyllospadix:before_afterBefore,-1.2612495952701968,0.6003101670069395,-2.100996559093121,0.04140415242784922,
Heterotrophic Bacteria,,,(Intercept),-0.6203595627651995,0.24460087337565825,-2.5362115605059623,0.014830753071188793,
Heterotrophic Bacteria,,,foundation_sppPhyllospadix,1.0003950275607338,0.3459178724961596,2.892001561936758,0.005928916616790863,
Heterotrophic Bacteria,,,before_afterBefore,-0.1409585698361282,0.2995736652047406,-0.4705305779791808,0.6403002148710157,
Heterotrophic Bacteria,,,foundation_sppPhyllospadix:before_afterBefore,0.6424032866267525,0.4236611402623611,1.516313925390775,0.13659215862625476,
HIX,,,(Intercept),-0.886234245407656,0.3130381799168697,-2.8310739783977916,0.006968661180992476,
HIX,,,foundation_sppPhyllospadix,0.594765221494289,0.4427028395790256,1.3434863486754736,0.18600272760756706,
HIX,,,before_afterBefore,0.886465938495923,0.3833919054029433,2.3121665481284768,0.025509014088829815,
HIX,,,foundation_sppPhyllospadix:before_afterBefore,-0.006376973010314709,0.5421980323249052,-0.011761335582445255,0.9906691954343568,
M:C,,,(Intercept),-0.03226208019316995,0.364416141499326,-0.08853087588390927,0.9298564750102084,
M:C,,,foundation_sppPhyllospadix,0.16210474969620645,0.5153622496560191,0.31454525395370736,0.754593684739465,
M:C,,,before_afterBefore,-0.04588732825407295,0.44631680035361065,-0.10281335638209686,0.918578268286659,
M:C,,,foundation_sppPhyllospadix:before_afterBefore,-0.05459622745665355,0.6311872721750411,-0.08649766854220232,0.9314632444378753,
Ammonium,,,(Intercept),0.5665986260001777,0.20375750340503324,2.7807497467903386,0.008016591922106076,
Ammonium,,,foundation_sppPhyllospadix,-1.5750813002202466,0.27900645218968095,-5.645322134519802,1.1965750423789913e-6,
Ammonium,,,before_afterBefore,0.4018551395425482,0.24429666448533913,1.6449473036774294,0.10727258906207206,
Ammonium,,,foundation_sppPhyllospadix:before_afterBefore,-0.10547179263025011,0.3378935935070287,-0.3121449907811174,0.7564389958070822,
Nitrate+Nitrite,,,(Intercept),1.2152488712659317,0.2164991660139083,5.613180381433256,1.2454589744130751e-6,
Nitrate+Nitrite,,,foundation_sppPhyllospadix,-1.2164804241383518,0.306176056819333,-3.973140280058434,2.596672635386668e-4,
Nitrate+Nitrite,,,before_afterBefore,-0.817442634692485,0.26515624323609016,-3.082871535348498,0.003533188677075406,
Nitrate+Nitrite,,,foundation_sppPhyllospadix:before_afterBefore,-0.18614070820529544,0.3749875553323779,-0.49639169502653446,0.6220889653223498,
